Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-November-2015,1200.00,1216.80,1190.85,1201.95,1204.026909722222222222,1152,212,1387039.00,247,21.44,25.95,1.95
13-November-2015,1224.00,1224.00,1187.40,1209.40,1204.138717339667458432,2105,329,2534712.00,573,27.22,36.60,-14.60
11-November-2015,1219.00,1234.70,1213.50,1223.80,1221.686431014823261117,877,134,1071419.00,309,35.23,21.20,4.80
10-November-2015,1236.55,1244.65,1184.50,1201.70,1214.815828130738156445,5446,608,6615887.00,2539,46.62,60.15,-34.85
9-November-2015,1216.40,1253.00,1207.00,1248.65,1229.259291458378613344,4601,706,5655822.00,1019,22.15,46.00,32.25
6-November-2015,1247.40,1270.00,1222.25,1238.75,1238.817988668555240793,2824,435,3498422.00,948,33.57,47.75,-8.65
5-November-2015,1256.45,1256.45,1238.00,1242.75,1243.725163704396632366,5345,730,6647711.00,659,12.33,18.45,-13.70
4-November-2015,1268.00,1275.00,1234.50,1250.50,1254.711058097109177659,7126,1069,8941071.00,1179,16.55,40.50,-17.50
3-November-2015,1279.00,1299.05,1221.00,1263.25,1265.037503679717397703,50955,5451,64459986.00,4784,9.39,78.05,-15.75
2-November-2015,1255.00,1285.00,1239.60,1273.30,1259.246968352558414670,10143,1145,12772542.00,3063,30.20,45.40,18.30
30-October-2015,1283.00,1285.50,1223.40,1234.90,1249.209701492537313432,4020,526,5021823.00,1309,32.56,62.10,-48.10
29-October-2015,1267.25,1290.15,1267.10,1274.30,1278.305320945945945945,2368,406,3027027.00,629,26.56,23.05,7.05
28-October-2015,1267.00,1280.15,1248.00,1273.85,1270.442213401821153397,4283,410,5441304.00,1206,28.16,32.15,6.85
27-October-2015,1264.90,1276.95,1245.00,1270.00,1263.537398173290545544,8102,777,10237180.00,3794,46.83,31.95,5.10
26-October-2015,1264.65,1288.95,1250.75,1266.80,1267.582305936073059360,8760,1274,11104021.00,2749,31.38,38.20,2.15
23-October-2015,1241.00,1253.70,1229.00,1248.95,1243.251020408163265306,4410,750,5482737.00,1320,29.93,24.70,7.95
21-October-2015,1214.00,1244.70,1195.00,1237.75,1224.189603167122254689,21218,2262,25974855.00,7136,33.63,49.70,23.75
20-October-2015,1170.00,1205.00,1151.00,1198.05,1187.648496605237633365,10310,1082,12244656.00,3652,35.42,54.00,28.05
19-October-2015,1170.00,1185.00,1153.80,1164.85,1167.705930518189261901,8549,919,9982718.00,2145,25.09,31.20,-5.15
16-October-2015,1130.00,1179.00,1130.00,1167.20,1155.057976045825377538,11522,1267,13308578.00,5619,48.77,49.00,37.20
15-October-2015,1115.10,1132.95,1101.25,1127.25,1122.604662004662004662,4290,486,4815974.00,1828,42.61,31.70,12.15
14-October-2015,1116.10,1119.90,1089.95,1101.60,1107.357198042750450682,3883,599,4299868.00,1437,37.01,29.95,-14.50
13-October-2015,1110.95,1132.00,1100.00,1117.75,1118.103855101362578929,6018,886,6728749.00,1577,26.20,32.00,6.80
12-October-2015,1131.15,1131.15,1097.10,1104.45,1115.366644385026737967,2992,465,3337177.00,1207,40.34,34.05,-26.70
9-October-2015,1142.15,1161.50,1110.00,1117.30,1139.022995649471721566,8045,1084,9163440.00,1768,21.98,51.50,-24.85
8-October-2015,1149.80,1150.00,1121.15,1139.45,1130.087101633723799381,154004,602,174037934.00,150998,98.05,28.85,-10.35
7-October-2015,1099.95,1150.00,1096.65,1142.70,1135.177204884667571234,7370,888,8366256.00,3103,42.10,53.35,42.75
6-October-2015,1130.00,1133.95,1091.00,1098.70,1113.404387274606638336,8707,997,9694412.00,2607,29.94,42.95,-31.30
5-October-2015,1061.05,1112.00,1061.05,1106.85,1094.420162994265016601,9939,1396,10877442.00,3497,35.18,50.95,45.80
1-October-2015,1066.95,1071.95,1045.00,1051.30,1055.681376875551632833,4532,554,4784348.00,1626,35.88,26.95,-15.65
30-September-2015,1056.50,1065.00,1025.00,1057.90,1056.033452502553626149,3916,578,4135427.00,735,18.77,40.00,1.40
29-September-2015,1048.00,1048.00,1021.05,1043.80,1033.228517054604011125,6831,807,7057984.00,2238,32.76,26.95,-4.20
28-September-2015,1090.00,1096.00,1048.00,1056.20,1072.864788117081695063,4578,819,4911575.00,2088,45.61,48.00,-33.80
24-September-2015,1101.85,1108.45,1088.30,1091.85,1099.831307761665038695,106472,429,117101239.00,105392,98.99,20.15,-10.00
23-September-2015,1101.00,1105.10,1080.75,1097.20,1094.528280107733743747,2599,322,2844679.00,1028,39.55,24.35,-3.80
22-September-2015,1110.00,1121.05,1100.00,1106.00,1109.925531914893617021,2820,403,3129990.00,1138,40.35,21.05,-4.00
21-September-2015,1123.30,1135.00,1107.00,1110.90,1118.639700641482537419,2806,551,3138903.00,968,34.50,28.00,-12.40
18-September-2015,1110.05,1132.65,1099.80,1121.35,1118.619292035398230088,5650,896,6320199.00,1438,25.45,32.85,11.30
16-September-2015,1124.95,1140.00,1075.50,1095.10,1108.486875725900116144,4305,642,4772036.00,1613,37.47,64.50,-29.85
15-September-2015,1154.00,1155.00,1076.00,1108.50,1126.351994145627515550,8199,1430,9234960.00,3275,39.94,79.00,-45.50
14-September-2015,1140.00,1164.10,1140.00,1153.00,1154.235375403040073698,2171,332,2505845.00,744,34.27,24.10,13.00
11-September-2015,1165.55,1180.00,1150.00,1153.30,1159.979591836734693877,3430,650,3978730.00,1393,40.61,30.00,-12.25
10-September-2015,1184.00,1184.00,1159.25,1165.10,1166.957148274554417899,2637,583,3077266.00,914,34.66,24.75,-18.90
9-September-2015,1179.25,1187.00,1167.15,1183.30,1177.121818244956071813,28797,457,33897577.00,26125,90.72,19.85,4.05
