Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-October-2018,126.80,126.80,105.65,118.05,118.433735802355492142,6844005,50609,810561080.00,1786959,26.11,21.15,-8.75
4-October-2018,158.90,158.90,128.50,140.85,146.689346776665586083,906918,7873,133035209.00,355851,39.24,30.40,-18.05
3-October-2018,151.80,158.50,150.40,157.50,156.470452936710205858,583459,3253,91294094.00,225292,38.61,8.10,5.70
1-October-2018,153.00,154.90,150.05,153.80,151.978002532475813945,439096,2656,66732933.00,165193,37.62,4.85,0.80
28-September-2018,153.25,154.60,151.50,153.20,153.206538921073916988,243557,2296,37314525.00,78000,32.03,3.10,-0.05
27-September-2018,155.90,155.90,152.05,152.65,152.976380899690014563,245818,2267,37604348.00,63401,25.79,3.85,-3.25
26-September-2018,155.50,156.00,152.55,154.45,153.989163264628762985,180774,1679,27837237.00,34725,19.21,3.45,-1.05
25-September-2018,152.80,154.95,151.20,153.55,152.770707016024252923,332496,2687,50795649.00,105443,31.71,3.75,0.75
24-September-2018,158.90,160.10,154.00,154.70,157.122554098982051731,564567,4050,88706209.00,131617,23.31,6.10,-4.20
21-September-2018,155.90,159.10,153.75,157.35,156.990030793938177286,792039,5719,124342227.00,231369,29.21,5.35,1.45
19-September-2018,152.90,155.50,151.70,153.40,153.536416427723231094,690540,2434,106023037.00,466702,67.59,3.80,0.50
18-September-2018,157.10,157.75,152.05,152.60,154.664011716471462083,238297,1892,36855970.00,71219,29.89,5.70,-4.50
17-September-2018,154.10,158.65,153.10,156.50,156.778756192565140112,528860,3749,82914013.00,144347,27.29,5.55,2.40
14-September-2018,151.00,156.00,151.00,155.10,153.787595281265271263,437914,3409,67345741.00,169105,38.62,5.00,4.10
12-September-2018,150.00,150.00,145.65,149.25,147.711656727359182136,1009460,5419,149109009.00,468456,46.41,4.35,-0.75
11-September-2018,151.50,152.65,150.25,150.60,151.181029581547197583,286699,2342,43343450.00,117769,41.08,2.40,-0.90
10-September-2018,154.00,154.00,150.45,150.55,150.893446556959498952,841756,4073,127015464.00,515047,61.19,3.55,-3.45
7-September-2018,153.95,154.30,152.70,153.65,153.493585141363812587,278572,2324,42759015.00,96184,34.53,1.60,-0.30
6-September-2018,153.10,154.35,152.00,153.65,153.197241899165998241,310431,2515,47557173.00,78283,25.22,2.35,0.55
5-September-2018,153.00,153.65,150.20,152.80,151.322242343292663169,555526,5080,84063440.00,189262,34.07,3.45,-0.20
4-September-2018,155.00,155.00,152.10,152.55,153.398918447003206579,430677,3186,66065386.00,167832,38.97,2.90,-2.45
3-September-2018,157.00,157.05,154.10,155.15,155.879922576104170332,227320,1933,35434624.00,93589,41.17,2.95,-1.85
31-August-2018,154.80,156.20,153.05,155.65,154.921836619008628834,349294,2552,54113268.00,113975,32.63,3.15,0.85
30-August-2018,156.40,156.40,154.00,154.60,154.801044044728155763,343855,2934,53229113.00,142857,41.55,2.40,-1.80
29-August-2018,156.70,156.95,155.50,156.50,156.371567701214119160,198992,2443,31116691.00,84270,42.35,1.45,-0.20
28-August-2018,157.40,157.40,154.85,155.60,156.193271323503646224,256841,2285,40116836.00,105918,41.24,2.55,-1.80
27-August-2018,155.00,156.50,155.00,156.05,155.795097184233823548,302724,2152,47162915.00,124430,41.10,1.50,1.05
