Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI
NIFTY,03-Jan-2018,28-Mar-2018,CE,11550,0,0,0,17.85,0,11.1,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11600,0,0,0,34,0,9.1,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11650,0,0,0,12.4,0,7.4,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11700,14.2,14.2,14.2,14.2,14.2,14.2,2,17.57,0.02,300,150
NIFTY,03-Jan-2018,28-Mar-2018,CE,11750,0,0,0,8.5,0,4.8,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11800,0,0,0,21.7,0,3.85,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11850,0,0,0,5.7,0,3.05,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11900,0,0,0,7.85,7.5,2.45,0,0,0,375,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,11950,0,0,0,3.8,0,1.95,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,12000,0,0,0,6.15,6.15,1.5,0,0,0,38850,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,12050,0,0,0,2.65,0,1.2,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,12100,0,0,0,16.35,0,0.95,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,12200,0,0,0,4.85,0,0.55,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,12300,0,0,0,5.25,0,0.35,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,12400,0,0,0,4.65,0,0.2,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,12500,0.95,1.2,0.95,1.1,1.05,1.1,240,2250.19,0.19,122625,5100
NIFTY,03-Jan-2018,28-Mar-2018,CE,12600,0,0,0,3.35,0,0.1,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,12700,0,0,0,2.4,0,0.05,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,12800,0,0,0,1.2,0,0.05,0,0,0,0,0
NIFTY,03-Jan-2018,28-Mar-2018,CE,12900,0,0,0,0.85,0,0.05,0,0,0,0,0
