Symbol,Date,Expiry,Option Type,Strike Price,Stock Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI
NIFTY,01-Jan-2019,28-Mar-2019,CE,10700,10910.1,0,0,0,736.3,0,583.1,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10750,10910.1,0,0,0,507.45,0,551.2,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10800,10910.1,387.8,434.35,379.3,434.35,434.35,434.35,6,50.38,1.78,825,300
NIFTY,01-Jan-2019,28-Mar-2019,CE,10850,10910.1,0,0,0,452.85,0,490.55,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,10900,10910.1,328.2,367.4,328.15,367.4,367.4,367.4,4,33.71,1.01,675,225
NIFTY,01-Jan-2019,28-Mar-2019,CE,10950,10910.1,0,0,0,402.25,0,434.2,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,11000,10910.1,296.4,316,259.6,310.85,310,310.85,385,3259.24,82.99,166650,3525
NIFTY,01-Jan-2019,28-Mar-2019,CE,11050,10910.1,0,0,0,355.6,0,382.2,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,11100,10910.1,239.8,250,210.4,242.3,242.3,242.3,17,144.39,2.86,3525,-300
NIFTY,01-Jan-2019,28-Mar-2019,CE,11150,10910.1,0,0,0,312.9,0,334.5,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,11200,10910.1,181.05,204.8,172.45,203.8,204.8,203.8,44,375.86,6.26,1950,1650
NIFTY,01-Jan-2019,28-Mar-2019,CE,11250,10910.1,0,0,0,274,0,291.05,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,11300,10910.1,156.25,166.6,133.35,163.3,160,163.3,44,377.43,4.53,2625,2325
NIFTY,01-Jan-2019,28-Mar-2019,CE,11350,10910.1,0,0,0,238.8,0,251.85,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,11400,10910.1,122.2,140.15,104,134.25,140.15,134.25,66,569.77,5.47,4050,3450
NIFTY,01-Jan-2019,28-Mar-2019,CE,11450,10910.1,0,0,0,207.1,0,216.6,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,11500,10910.1,95,103.4,79.95,102.45,103,102.45,440,3824.12,29.12,128100,7200
NIFTY,01-Jan-2019,28-Mar-2019,CE,11550,10910.1,0,0,0,178.8,0,185.25,0,0,0,0,0
NIFTY,01-Jan-2019,28-Mar-2019,CE,11600,10910.1,68.45,76.15,60,76.15,76.15,76.15,31,271.26,1.56,5175,-750
NIFTY,02-Jan-2019,28-Mar-2019,CE,11650,10792.5,0,0,0,154.1,0,128.05,0,0,0,0,0
NIFTY,02-Jan-2019,28-Mar-2019,CE,11700,10792.5,55.55,58.95,46.6,49.45,49.4,49.45,12,105.77,0.47,7575,-75
NIFTY,01-Nov-2018,27-Dec-2018,CE,3600,10380.45,0,0,0,6737.95,6744.7,6821.95,0,0,0,158100,0
NIFTY,01-Nov-2018,27-Dec-2018,CE,3700,10380.45,0,0,0,3782.65,0,6723.1,0,0,0,0,0
NIFTY,01-Nov-2018,27-Dec-2018,CE,3800,10380.45,0,0,0,3803.5,0,6624.25,0,0,0,0,0
NIFTY,01-Nov-2018,27-Dec-2018,CE,3900,10380.45,0,0,0,3811.6,0,6525.4,0,0,0,0,0
NIFTY,01-Nov-2018,27-Dec-2018,CE,4000,10380.45,6310,6383,6299.6,6358.25,6365,6358.25,18,139.44,85.44,1061925,0
NIFTY,01-Nov-2018,27-Dec-2018,CE,4100,10380.45,0,0,0,3687.85,0,6327.7,0,0,0,0,0
NIFTY,01-Nov-2018,27-Dec-2018,CE,4200,10380.45,0,0,0,3626.3,0,6228.85,0,0,0,0,0
NIFTY,01-Nov-2018,27-Dec-2018,CE,4300,10380.45,0,0,0,3565,0,6130,0,0,0,0,0
NIFTY,01-Nov-2018,27-Dec-2018,CE,4400,10380.45,0,0,0,3504,0,6031.15,0,0,0,0,0
NIFTY,01-Nov-2018,27-Dec-2018,CE,4500,10380.45,0,0,0,3443.35,0,5932.3,0,0,0,0,0
NIFTY,01-Nov-2018,27-Dec-2018,CE,4600,10380.45,0,0,0,3382.95,0,5833.45,0,0,0,0,0
NIFTY,01-Nov-2018,27-Dec-2018,CE,4700,10380.45,0,0,0,3322.95,0,5734.6,0,0,0,0,0
